id,name,displayName,description,category,baseHp,baseAttackDamage,baseMoveSpeed,baseExpReward,baseGoldReward,scale,collisionWidth,collisionHeight,aiType,spawnWeight,minWave,maxWave,specialAbilities,iconPath,modelPath,enabled
zombie_normal,普通殭屍,Lv.{wave} 普通殭屍,最基本的不死生物，行動緩慢但數量眾多,undead,100,15,60,10,5,1.0,32,64,aggressive,100,1,0,,enemies/zombie_normal.png,zombie_walk,TRUE
zombie_fast,快速殭屍,Lv.{wave} 快速殭屍,敏捷的不死生物，移動速度極快,undead,80,12,100,15,8,0.9,28,28,chase,80,2,0,,enemies/zombie_fast.png,zombie_run,TRUE
zombie_strong,強壯殭屍,Lv.{wave} 強壯殭屍,力大無窮的不死生物，生命值和攻擊力都很高,undead,200,25,40,30,15,1.3,40,40,tank,60,4,0,,enemies/zombie_strong.png,zombie_heavy,TRUE
zombie_boss,殭屍王,Lv.{wave} 殭屍王,不死大軍的首領，實力強大,undead,500,40,80,100,50,1.8,60,60,boss,20,5,0,regeneration,enemies/zombie_boss.png,zombie_king,TRUE
zombie_elite,精英殭屍,Lv.{wave} 精英殭屍,經過強化的殭屍，具有特殊能力,undead,150,20,70,25,12,1.1,36,36,elite,50,3,0,stun_attack,enemies/zombie_elite.png,zombie_elite,TRUE
werewolf_hunter,狼人獵手,Lv.{wave} 狼人獵手,敏捷的獸人戰士，擅長追擊,beast,120,18,120,20,10,1.0,30,60,chase,70,6,0,speed_boost,enemies/werewolf.png,werewolf_run,TRUE
demon_imp,小惡魔,Lv.{wave} 小惡魔,來自深淵的魔物，會使用遠程攻擊,demon,90,22,50,18,9,0.8,24,48,ranged,60,8,0,fire_projectile,enemies/imp.png,imp_float,TRUE
skeleton_warrior,骷髏戰士,Lv.{wave} 骷髏戰士,持劍的骷髏，攻擊力強但脆弱,undead,70,28,70,16,7,1.0,28,56,aggressive,75,5,0,parry,enemies/skeleton.png,skeleton_walk,TRUE
giant_spider,巨型蜘蛛,Lv.{wave} 巨型蜘蛛,劇毒的蜘蛛，會使敵人中毒,beast,110,16,85,22,11,1.2,40,40,ambush,55,7,15,poison_attack,enemies/spider.png,spider_crawl,TRUE
necromancer,死靈法師,Lv.{wave} 死靈法師,召喚不死生物的黑魔法師,undead,150,15,55,80,40,1.1,32,64,summoner,15,10,0,summon_zombies,enemies/necromancer.png,necro_cast,TRUE
demon_lord,惡魔領主,Lv.{wave} 惡魔領主,深淵的統治者，終極Boss,demon,1000,60,90,200,100,2.0,80,80,boss,5,15,0,"aoe_attack,teleport,summon_imps",enemies/demon_lord.png,demon_lord,TRUE
ghost_phantom,幽靈,Lv.{wave} 幽靈,虛無的靈體，可以穿牆,undead,60,10,100,12,6,0.9,24,48,phantom,40,9,0,phase_through,enemies/ghost.png,ghost_float,TRUE
