id,name,description,rarity,category,stackSize,sellPrice,baseDropRate,minDropQuantity,maxDropQuantity,iconPath,dropFromEnemyLevel,enabled
poison_essence,毒精華,蘊含劇毒能量的精華,common,essence,999,5,15,1,3,items/essence_poison.png,1,TRUE
frost_essence,冰霜精華,散發寒冷氣息的精華,common,essence,999,5,15,1,3,items/essence_frost.png,1,TRUE
flame_essence,火焰精華,燃燒著熾熱火焰的精華,common,essence,999,5,15,1,3,items/essence_flame.png,1,TRUE
lightning_essence,閃電精華,充滿雷電之力的精華,common,essence,999,5,15,1,3,items/essence_lightning.png,1,TRUE
explosive_essence,爆炸精華,不穩定的爆炸能量結晶,common,essence,999,5,15,1,3,items/essence_explosive.png,1,TRUE
iron_ore,鐵礦石,最常見的礦石材料,common,ore,999,10,20,2,5,items/ore_iron.png,1,TRUE
mithril_ore,祕銀礦石,稀有的藍色礦石,rare,ore,999,50,8,1,2,items/ore_mithril.png,5,TRUE
adamantite_ore,精金礦石,傳說中的最硬礦石,epic,ore,999,200,3,1,1,items/ore_adamantite.png,10,TRUE
weapon_scroll,武器卷軸,記載武器製作方法的卷軸,rare,special,99,30,5,1,1,items/scroll_weapon.png,3,TRUE
blessing_stone,祝福石,蘊含神聖力量的寶石,epic,special,99,100,2,1,1,items/stone_blessing.png,8,TRUE
